ID,Lat,Long,group
0,41.93292242,-87.71372338,1
1,41.93129163,-87.71105271,1
2,41.93105733,-87.71288882,1
3,41.93292242,-87.71372338,31
4,41.93263816,-87.70987829,31
5,41.93445972,-87.72047089,31
6,41.93292242,-87.71372338,61
7,41.93385900000001,-87.71032212,61
8,41.93105733,-87.71288882,61
9,41.93292242,-87.71372338,91
10,41.93282642,-87.70866735,91
11,41.93445972,-87.72047089,91
12,41.87703320000001,-87.68633493,121
13,41.8829722,-87.68983344,121
14,41.87392225,-87.68408616,121
15,41.87703320000001,-87.68633493,151
16,41.87872693,-87.67819903,151
17,41.87093174,-87.68615781,151
18,41.87703320000001,-87.68633493,181
19,41.87304898,-87.68446584,181
20,41.87392225,-87.68408616,181
21,41.87703320000001,-87.68633493,211
22,41.87690601,-87.68034733,211
23,41.87093174,-87.68615781,211
24,41.87703320000001,-87.68633493,241
25,41.8811524,-87.68732525,241
26,41.87392225,-87.68408616,241
27,41.93824048,-87.64433867,271
28,41.93281213,-87.64429052,271
29,41.9422814,-87.64047249,271
30,41.87713466,-87.72188179999998,301
31,41.87885796,-87.72652149999998,301
32,41.87828705,-87.71416331,301
33,41.87713466,-87.72188179999998,331
34,41.87793585,-87.72911529,331
35,41.87828705,-87.71416331,331
36,41.87713466,-87.72188179999998,361
37,41.87525463,-87.72649684,361
38,41.87828705,-87.71416331,361
39,41.9399189,-87.65336973,391
40,41.93565241,-87.65396267,391
41,41.94597363,-87.65307382,391
42,41.9399189,-87.65336973,421
43,41.9344799,-87.65244991,421
44,41.93984892,-87.65825156,421
45,41.9399189,-87.65336973,451
46,41.94589574,-87.65428768,451
47,41.93852512,-87.65527372,451
48,41.90200389,-87.77484941,481
49,41.90474063,-87.7693851,481
50,41.89845899,-87.76825394,481
51,41.90200389,-87.77484941,511
52,41.89910250000001,-87.76797278,511
53,41.89904905,-87.77162072,511
54,41.94969088,-87.76267722,541
55,41.94870164,-87.7602084,541
56,41.94963773,-87.75807524,541
57,41.94969088,-87.76267722,571
58,41.94649714,-87.76555086,571
59,41.94766823,-87.76986708,571
60,41.93245748,-87.73682219,601
61,41.93077136,-87.7350151,601
62,41.93143388,-87.73682070000002,601
63,41.93245748,-87.73682219,631
64,41.935306,-87.73735428,631
65,41.930565,-87.74339599999998,631
66,41.93245748,-87.73682219,661
67,41.93346508,-87.73849969,661
68,41.93434284,-87.74054598,661
69,41.93245748,-87.73682219,691
70,41.93343419,-87.74101746,691
71,41.93448112,-87.73073555,691
72,41.93245748,-87.73682219,721
73,41.93583895,-87.73693401,721
74,41.93056507,-87.74341070000001,721
75,41.93326214,-87.79060045,751
76,41.93358731,-87.79555182,751
77,41.93333975,-87.78212122,751
78,41.94000528,-87.64759089,781
79,41.93388846,-87.64576371,781
80,41.9422814,-87.64047249,781
81,41.93154385,-87.74590806,811
82,41.93607894,-87.74784009,811
83,41.93056507,-87.74341070000001,811
84,41.93154385,-87.74590806,841
85,41.93346508,-87.73849969,841
86,41.92807276,-87.75136766,841
87,41.93154385,-87.74590806,871
88,41.93422026,-87.75037092,871
89,41.93434284,-87.74054598,871
90,41.93154385,-87.74590806,901
91,41.93343203,-87.74113141,901
92,41.92905541,-87.75141017,901
93,41.93154385,-87.74590806,931
94,41.92837509,-87.73913496,931
95,41.93060755,-87.73993744,931
96,41.93154385,-87.74590806,961
97,41.92724102,-87.7448598,961
98,41.92970595,-87.74766317,961
99,41.9214392,-87.72423689,991
100,41.92171658,-87.72790874,991
101,41.92452283,-87.72355348,991
