ID,Lat,Long,group
0,41.93292242,-87.71372338,1
1,41.93129163,-87.71105271,1
2,41.93105733,-87.71288882,1
3,41.93011102,-87.71500742,1
4,41.93292242,-87.71372338,31
5,41.93129163,-87.71105271,31
6,41.93528545,-87.71529924,31
7,41.93011102,-87.71500742,31
8,41.93292242,-87.71372338,61
9,41.93129163,-87.71105271,61
10,41.93548511,-87.72080655,61
11,41.93011102,-87.71500742,61
12,41.93292242,-87.71372338,91
13,41.93158789,-87.71153862,91
14,41.93005541,-87.72050202,91
15,41.93011102,-87.71500742,91
16,41.93292242,-87.71372338,121
17,41.93158789,-87.71153862,121
18,41.93187732,-87.71994067,121
19,41.93011102,-87.71500742,121
20,41.93292242,-87.71372338,151
21,41.93263816,-87.70987829,151
22,41.93105733,-87.71288882,151
23,41.93612762,-87.70262601,151
24,41.93292242,-87.71372338,181
25,41.93263816,-87.70987829,181
26,41.93528545,-87.71529924,181
27,41.93443166,-87.7147268,181
28,41.93292242,-87.71372338,211
29,41.93263816,-87.70987829,211
30,41.93746056,-87.71255846,211
31,41.93169306,-87.71170297,211
32,41.93292242,-87.71372338,241
33,41.93336833,-87.71601235,241
34,41.9313774,-87.71473794,241
35,41.93011102,-87.71500742,241
36,41.93292242,-87.71372338,271
37,41.93336833,-87.71601235,271
38,41.93005541,-87.72050202,271
39,41.93926854,-87.71298198,271
40,41.93292242,-87.71372338,301
41,41.93336833,-87.71601235,301
42,41.93445972,-87.72047089,301
43,41.93284557,-87.72088325,301
44,41.93292242,-87.71372338,331
45,41.93336833,-87.71601235,331
46,41.93746056,-87.71255846,331
47,41.93443166,-87.7147268,331
48,41.93292242,-87.71372338,361
49,41.936154,-87.70996901,361
50,41.93105733,-87.71288882,361
51,41.94159746,-87.7052406,361
52,41.93292242,-87.71372338,391
53,41.936154,-87.70996901,391
54,41.93005541,-87.72050202,391
55,41.93460962,-87.70504823,391
56,41.93292242,-87.71372338,421
57,41.936154,-87.70996901,421
58,41.93445972,-87.72047089,421
59,41.93615013,-87.70875252,421
60,41.93292242,-87.71372338,451
61,41.936154,-87.70996901,451
62,41.93548511,-87.72080655,451
63,41.94159746,-87.7052406,451
64,41.93292242,-87.71372338,481
65,41.93385900000001,-87.71032212,481
66,41.9313774,-87.71473794,481
67,41.93460962,-87.70504823,481
68,41.93292242,-87.71372338,511
69,41.93385900000001,-87.71032212,511
70,41.9319578,-87.71346443,511
71,41.93615013,-87.70875252,511
72,41.93292242,-87.71372338,541
73,41.93385900000001,-87.71032212,541
74,41.93187732,-87.71994067,541
75,41.93011102,-87.71500742,541
76,41.93292242,-87.71372338,571
77,41.93385900000001,-87.71032212,571
78,41.92907059,-87.71087586,571
79,41.93460962,-87.70504823,571
80,41.93292242,-87.71372338,601
81,41.93385894,-87.7103111,601
82,41.93628903,-87.71924052,601
83,41.93615013,-87.70875252,601
84,41.93292242,-87.71372338,631
85,41.93385894,-87.7103111,631
86,41.93445972,-87.72047089,631
87,41.93011102,-87.71500742,631
88,41.93292242,-87.71372338,661
89,41.93385894,-87.7103111,661
90,41.93746056,-87.71255846,661
91,41.93460962,-87.70504823,661
92,41.93292242,-87.71372338,691
93,41.93282642,-87.70866735,691
94,41.93105733,-87.71288882,691
95,41.93016501,-87.71128416,691
96,41.93292242,-87.71372338,721
97,41.93282642,-87.70866735,721
98,41.9319578,-87.71346443,721
99,41.93011102,-87.71500742,721
100,41.93292242,-87.71372338,751
101,41.93282642,-87.70866735,751
102,41.93201358,-87.70907218,751
103,41.9284224,-87.70272763,751
104,41.93292242,-87.71372338,781
105,41.93282642,-87.70866735,781
106,41.93548511,-87.72080655,781
107,41.93016501,-87.71128416,781
108,41.93292242,-87.71372338,811
109,41.93192801,-87.71557421,811
110,41.93628903,-87.71924052,811
111,41.93184923,-87.72239221,811
112,41.93292242,-87.71372338,841
113,41.93192801,-87.71557421,841
114,41.93445972,-87.72047089,841
115,41.93101325,-87.72206576,841
116,41.93292242,-87.71372338,871
117,41.93192801,-87.71557421,871
118,41.93746056,-87.71255846,871
119,41.93284557,-87.72088325,871
120,41.93292242,-87.71372338,901
121,41.93317724,-87.71721964,901
122,41.9313774,-87.71473794,901
123,41.93443166,-87.7147268,901
124,41.93292242,-87.71372338,931
125,41.93317724,-87.71721964,931
126,41.9319578,-87.71346443,931
127,41.93284557,-87.72088325,931
128,41.93292242,-87.71372338,961
129,41.93317724,-87.71721964,961
130,41.93187732,-87.71994067,961
131,41.93101325,-87.72206576,961
132,41.93292242,-87.71372338,991
133,41.93317724,-87.71721964,991
134,41.92907059,-87.71087586,991
135,41.93443166,-87.7147268,991
