ID,Lat,Long,group
0,41.93292242,-87.71372338,1
1,41.93129163,-87.71105271,1
2,41.93011102,-87.71500742,1
3,41.9282523,-87.71739565,31
4,41.93129163,-87.71105271,31
5,41.93011102,-87.71500742,31
6,41.93162768,-87.71229896,61
7,41.93158789,-87.71153862,61
8,41.93011102,-87.71500742,61
9,41.93196108,-87.71305647,91
10,41.93158789,-87.71153862,91
11,41.93011102,-87.71500742,91
12,41.92985734,-87.70869999,121
13,41.93263816,-87.70987829,121
14,41.93169306,-87.71170297,121
15,41.93068081,-87.70371234,151
16,41.93263816,-87.70987829,151
17,41.93615013,-87.70875252,151
18,41.92869679,-87.72200335,181
19,41.93336833,-87.71601235,181
20,41.93921160000001,-87.71769818,181
21,41.93926657,-87.71312534,211
22,41.93336833,-87.71601235,211
23,41.93615013,-87.70875252,211
24,41.9392036,-87.71825325,241
25,41.93336833,-87.71601235,241
26,41.93169306,-87.71170297,241
27,41.93038065,-87.70955483,271
28,41.93336833,-87.71601235,271
29,41.93011102,-87.71500742,271
30,41.9282523,-87.71739565,301
31,41.93336833,-87.71601235,301
32,41.93926854,-87.71298198,301
33,41.93438877,-87.72054507,331
34,41.93336833,-87.71601235,331
35,41.93284557,-87.72088325,331
36,41.93292242,-87.71372338,361
37,41.936154,-87.70996901,361
38,41.93460962,-87.70504823,361
39,41.93926657,-87.71312534,391
40,41.936154,-87.70996901,391
41,41.93615013,-87.70875252,391
42,41.93162768,-87.71229896,421
43,41.936154,-87.70996901,421
44,41.94159746,-87.7052406,421
45,41.93038065,-87.70955483,451
46,41.936154,-87.70996901,451
47,41.93460962,-87.70504823,451
48,41.93196108,-87.71305647,481
49,41.936154,-87.70996901,481
50,41.93615013,-87.70875252,481
51,41.93926234,-87.71335694,511
52,41.93385900000001,-87.71032212,511
53,41.93011102,-87.71500742,511
54,41.93926657,-87.71312534,541
55,41.93385900000001,-87.71032212,541
56,41.93460962,-87.70504823,541
57,41.93926234,-87.71335694,571
58,41.93385900000001,-87.71032212,571
59,41.93615013,-87.70875252,571
60,41.93638935,-87.7063208,601
61,41.93385900000001,-87.71032212,601
62,41.93011102,-87.71500742,601
63,41.93882669,-87.71246802,631
64,41.93385900000001,-87.71032212,631
65,41.93460962,-87.70504823,631
66,41.93926234,-87.71335694,661
67,41.93385894,-87.7103111,661
68,41.93615013,-87.70875252,661
69,41.93929787,-87.71079478,691
70,41.93385894,-87.7103111,691
71,41.93011102,-87.71500742,691
72,41.92985734,-87.70869999,721
73,41.93385894,-87.7103111,721
74,41.93460962,-87.70504823,721
75,41.93638935,-87.7063208,751
76,41.93385894,-87.7103111,751
77,41.93615013,-87.70875252,751
78,41.93292242,-87.71372338,781
79,41.93282642,-87.70866735,781
80,41.93011102,-87.71500742,781
81,41.92985734,-87.70869999,811
82,41.93282642,-87.70866735,811
83,41.9284224,-87.70272763,811
84,41.93196108,-87.71305647,841
85,41.93282642,-87.70866735,841
86,41.93016501,-87.71128416,841
87,41.93557022,-87.71927314,871
88,41.93192801,-87.71557421,871
89,41.93184923,-87.72239221,871
90,41.93038065,-87.70955483,901
91,41.93192801,-87.71557421,901
92,41.93101325,-87.72206576,901
93,41.93547663,-87.72282067,931
94,41.93192801,-87.71557421,931
95,41.93284557,-87.72088325,931
96,41.92869679,-87.72200335,961
97,41.93317724,-87.71721964,961
98,41.93443166,-87.7147268,961
99,41.93460576,-87.71648188,991
100,41.93317724,-87.71721964,991
101,41.93284557,-87.72088325,991
