DATE  OF OCCURRENCE, PRIMARY DESCRIPTION,LATITUDE,LONGITUDE, LOCATION DESCRIPTION,BLOCK
4/11/17 16:09,ARSON,41.77282079,-87.69689281,ABANDONED BUILDING,066XX S RICHMOND ST
1/14/18 10:24,ARSON,41.91813492,-87.65145894,RESIDENCE,009XX W ARMITAGE AVE
7/9/17 3:17,ARSON,41.85472754,-87.70655744,VEHICLE NON-COMMERCIAL,019XX S SAWYER AVE
5/30/17 4:22,ARSON,41.6965688,-87.53770167,RESIDENCE-GARAGE,109XX S AVENUE M
1/17/18 17:35,ARSON,41.88381425,-87.74662456,APARTMENT,001XX N LA CROSSE AVE
6/20/17 3:24,ARSON,41.91323297,-87.74994471,STREET,049XX W BLOOMINGDALE AVE
3/19/17 22:40,ARSON,41.81500051,-87.68950916,RESIDENCE-GARAGE,043XX S ROCKWELL ST
9/23/17 2:58,ARSON,41.92719876,-87.69138825,STREET,025XX N MAPLEWOOD AVE
9/7/17 8:39,ARSON,41.88357437,-87.70994788,APARTMENT,033XX W MAYPOLE AVE
12/14/17 17:57,ARSON,41.74905163,-87.57471871,RESIDENCE-GARAGE,080XX S CHAPPEL AVE
6/22/17 15:15,ARSON,41.76323624,-87.55980204,APARTMENT,073XX S SOUTH SHORE DR
4/21/17 1:12,ARSON,41.80140653,-87.6581663,VEHICLE NON-COMMERCIAL,013XX W 51ST ST
7/1/17 13:32,ARSON,41.89610437,-87.72733896,ALLEY,008XX N KEYSTONE AVE
12/16/17 16:52,ARSON,41.82444587,-87.70278772,RESIDENCE PORCH/HALLWAY,031XX W 38TH ST
9/14/17 3:30,ARSON,41.76791815,-87.64570598,ALLEY,069XX S GREEN ST
1/3/18 1:00,ARSON,41.87930945,-87.76046167,RESIDENCE,054XX W MONROE ST
10/19/17 15:20,ARSON,41.91716113,-87.72686423,CONSTRUCTION SITE,040XX W ARMITAGE AVE
11/8/17 0:39,ARSON,41.80989632,-87.63912054,STREET,005XX W 46TH PL
12/12/17 0:49,ARSON,41.71796457,-87.63270822,VEHICLE NON-COMMERCIAL,003XX W 97TH ST
11/29/17 22:33,ARSON,41.68411263,-87.66673777,VEHICLE NON-COMMERCIAL,115XX S WATKINS AVE
6/19/17 0:32,ARSON,41.67165009,-87.65632494,VEHICLE NON-COMMERCIAL,122XX S LOOMIS ST
9/19/17 6:28,ARSON,41.75044617,-87.60273346,APARTMENT,079XX S DREXEL AVE
11/21/17 16:55,ARSON,41.86373995,-87.67616771,COMMERCIAL / BUSINESS OFFICE,013XX S DAMEN AVE
6/2/17 21:59,ARSON,41.96739775,-87.72186882,RESIDENCE-GARAGE,037XX W GIDDINGS ST
10/17/17 23:06,ARSON,41.78955586,-87.66082817,VEHICLE NON-COMMERCIAL,057XX S BISHOP ST
4/9/17 11:30,ARSON,41.84572462,-87.72460326,RESIDENCE-GARAGE,025XX S PULASKI RD
8/1/17 20:00,ARSON,41.95280987,-87.79247865,OTHER,066XX W IRVING PARK RD
12/14/17 16:46,ARSON,41.82415451,-87.63985441,VEHICLE NON-COMMERCIAL,038XX S PARNELL AVE
