Name,Address,Zip,Lat,Long
GLOBAL CITIZENSHIP,4647 W 47TH ST,60632,41.80757851,-87.74009744
ACE TECH HS,5410 S STATE ST,60609,41.79612151,-87.62584904
LOCKE A,3141 W JACKSON BLVD,60612,41.87724835,-87.70523453
ASPIRA - EARLY COLLEGE HS,3986 W BARRY AVE,60618,41.93729829,-87.72709566
ASPIRA - HAUGAN,3729 W LELAND AVE,60625,41.96640567,-87.72182467
CATALYST - CIRCLE ROCK,5608 W WASHINGTON BLVD,60644,41.88232222,-87.76532198
CHIARTS HS,2714 W AUGUSTA BLVD,60622,41.89937657,-87.69494501
CICS - AVALON/SOUTH SHORE,1501 E 83RD PL,60619,41.74317942,-87.58792764
CICS - BASIL,1816 W GARFIELD BLVD,60609,41.79404286,-87.67024266
CICS - BUCKTOWN,2235 N HAMILTON AVE,60647,41.92241463,-87.68135796
CICS - LOOMIS,9535 S LOOMIS ST,60643,41.72024642,-87.65756106
CICS - IRVING PARK,3820 N SPAULDING AVE,60618,41.95089128,-87.71049243
CICS - PRAIRIE,11530 S PRAIRIE AVE,60628,41.68443304,-87.61688838
CICS - WASHINGTON PARK,110 E 61ST ST,60637,41.7841264,-87.62126075
CICS - WEST BELDEN,2245 N MCVICKER AVE,60639,41.9216875,-87.77674854
CICS - WRIGHTWOOD,8130 S CALIFORNIA AVE,60652,41.74536545,-87.6926144
CICS - ELLISON HS,1817 W 80TH ST,60620,41.74838241,-87.66897964
CICS - LONGWOOD,1309 W 95TH ST,60643,41.72122143,-87.65576813
CICS - NORTHTOWN HS,3900 W PETERSON AVE,60659,41.99024501,-87.72650426
CHICAGO MATH & SCIENCE HS,7212 N CLARK ST,60626,42.01303149,-87.67481842
CHICAGO VIRTUAL,38 S PEORIA ST,60607,41.88055011,-87.64977248
ERIE,1405 N WASHTENAW AVE,60622,41.90677064,-87.69436445
FRAZIER CHARTER,3711 W DOUGLAS BLVD,60624,41.86207686,-87.71764198
HOPE INSTITUTE,1628 W WASHINGTON,60612,41.88336203,-87.66807695
KIPP - ASCEND,1616 S AVERS AVE,60623,41.85836974,-87.72107065
NKRUMAH,314 W 108TH ST,60628,41.69804049,-87.63105815
LEARN - BUTLER,1132 S HOMAN AVE,60624,41.86727271,-87.71067948
