NAME,ADDRESS,ZIP,GEODATE,LAT,LONG
SAINT JOSEPH CHURCH,1107 NORTH ORLEANS STREET,60610,2009-04-06T00:00:00.000Z,41.9022297,-87.6369941
SAINT FELICITAS CATHOLIC CHURCH,1526 EAST 84TH STREET,60619,2009-04-03T00:00:00.000Z,41.7425628,-87.5874723
OUR LADY HELP OF CHRISTIANS,832 NORTH LECLAIRE AVENUE,60651,2009-04-03T00:00:00.000Z,41.8963841,-87.7535663
SAINT AGNES OF BOHEMIA,2651 SOUTH CENTRAL PARK AVENUE,60623,2009-04-03T00:00:00.000Z,41.8427363,-87.7144189
IMMACULATE HEART OF MARY,3834 NORTH SPAULDING AVENUE,60618,2009-04-03T00:00:00.000Z,41.9517025,-87.7108109
HOLY TRINITY CROATIAN CHURCH,1850 SOUTH THROOP STREET,60608,2009-04-06T00:00:00.000Z,41.8565431,-87.6591571
POLAND PASTORAL MISSION IN CHICAGO,1118 NORTH NOBLE STREET,60622,2009-04-03T00:00:00.000Z,41.9023337,-87.6629903
SAINT FRANCIS OF ASSISI / OUR LADY OF ANGELS,932 NORTH KOSTNER AVENUE,60651,2009-04-07T00:00:00.000Z,41.8986101,-87.7364805
ALL SAINTS SAINT ANTHONY CHURCH,518 WEST 28TH PLACE,60616,2009-04-06T00:00:00.000Z,41.8429702,-87.6409805
SAINT GEORGE ROMAN CATHOLIC CHURCH,9546 SOUTH EWING AVENUE,60617,2009-04-08T00:00:00.000Z,41.7215247,-87.5358491
SAINT VIATOR CHURCH,4170 WEST ADDISON STREET,60641,2009-04-08T00:00:00.000Z,41.946672,-87.7316267
SAINT PIUS V CHURCH,1919 SOUTH ASHLAND AVENUE,60608,2009-04-07T00:00:00.000Z,41.8557439,-87.6656401
SAINTS PETER AND PAUL CHURCH,3745 SOUTH PAULINA STREET,60609,2009-04-08T00:00:00.000Z,41.8252136,-87.6673747
SAINT HELEN CATHOLIC CHURCH,2315 WEST AUGUSTA BOULEVARD,60622,2009-04-07T00:00:00.000Z,41.8991127,-87.6849028
SAINT JOHN FISHER CATHOLIC CHURCH,10234 SOUTH WASHTENAW AVENUE,60655,2009-04-09T00:00:00.000Z,41.7071091,-87.689863
SAINT WENCESLAUS CATHOLIC CHURCH,3400 NORTH MONTICELLO AVENUE,60618,2009-04-06T00:00:00.000Z,41.9432046,-87.7196046
SAINT THOMAS THE APOSTLE CATHOLIC CHURCH,5472 SOUTH KIMBARK AVENUE,60615,2009-04-06T00:00:00.000Z,41.7959252,-87.5955128
SAINT STEPHEN KING OF HUNGARY ROMAN CATHOLIC CHURCH,2015 WEST AUGUSTA BOULEVARD,60622,2009-04-06T00:00:00.000Z,41.8992822,-87.6779691
SAINT BENEDICT THE AFRICAN EAST,340 WEST 66TH STREET,60621,2009-04-07T00:00:00.000Z,41.7746745,-87.634358
SAINT RICHARD ROMAN CATHOLIC CHURCH,5030 SOUTH KOSTNER AVENUE,60632,2009-04-09T00:00:00.000Z,41.8018273,-87.7335667
SAINT CLOTILDE CHURCH,8430 SOUTH CALUMET AVENUE,60619,2009-04-09T00:00:00.000Z,41.7415093,-87.6167893
BLESSED SACRAMENT CATHOLIC CHURCH,2153 SOUTH MILLARD AVENUE,60623,2009-04-08T00:00:00.000Z,41.8519944,-87.7152983
GOOD SHEPHERD CATHOLIC CHURCH,2735 SOUTH KOLIN AVENUE,60623,2009-04-08T00:00:00.000Z,41.8407258,-87.7326315
SAINT BEDE THE VENERABLE,8200 SOUTH KOSTNER AVENUE,60652,2009-04-09T00:00:00.000Z,41.7423443,-87.731836
SAINT ANN CATHOLIC CHURCH,1840 SOUTH LEAVITT STREET,60608,2009-04-08T00:00:00.000Z,41.8568929,-87.681277
SAINT JULIANA CHURCH,7201 NORTH OKETO AVENUE,60631,2009-04-06T00:00:00.000Z,42.0119011,-87.8108742
SAINT SYMPHOROSA CHURCH,6135 SOUTH AUSTIN AVENUE,60638,2009-04-06T00:00:00.000Z,41.7800274,-87.7713172
SAINTS PETER AND PAUL CHURCH,12433 SOUTH HALSTED STREET,60628,2009-04-08T00:00:00.000Z,41.6672975,-87.6412077
SAINT MARY OF THE WOODS FAITH COMMUNITY,7033 NORTH MOSELLE AVENUE,60646,2009-04-07T00:00:00.000Z,42.0079501,-87.7774149
SAINT THADDEUS CATHOLIC CHURCH,9540 SOUTH HARVARD AVENUE,60628,2009-04-07T00:00:00.000Z,41.720082,-87.6326371
SAINT FRANCIS OF ASSISI CHURCH,813 WEST ROOSEVELT ROAD,60608,2009-04-10T00:00:00.000Z,41.866779,-87.6476777
SAINT JAMES CHURCH,2912 SOUTH WABASH AVENUE,60616,2009-04-10T00:00:00.000Z,41.8409245,-87.625797
SAINT JOACHIM,700 EAST 91ST STREET,60619,2009-04-10T00:00:00.000Z,41.7296245,-87.6066871
SAINTS VOLODYMYR AND OLHA UKRANIAN CATHOLIC CHURCH,2245 WEST SUPERIOR STREET,60612,2009-04-10T00:00:00.000Z,41.8951239,-87.6838441
HOLY FAMILY CHURCH,1080 WEST ROOSEVELT ROAD,60608,2009-04-13T00:00:00.000Z,41.8674178,-87.6547232
SAINT LADISLAUS CHURCH,5345 WEST ROSCOE STREET,60641,2009-04-10T00:00:00.000Z,41.9416775,-87.7611336
SAINT PANCRATIUS CHURCH,4025 SOUTH SACRAMENTO AVENUE,60632,2009-04-10T00:00:00.000Z,41.8197202,-87.6991144
SAINT FRANCIS BORGIA CHURCH,8033 WEST ADDISON STREET,60634,2009-04-07T00:00:00.000Z,41.9443022,-87.8281122
SAINT JANE DE CHANTAL,5252 SOUTH AUSTIN AVENUE,60638,2009-04-07T00:00:00.000Z,41.7965201,-87.7729161
SACRED HEART CHURCH,11652 SOUTH CHURCH STREET,60643,2009-04-08T00:00:00.000Z,41.6817118,-87.6710902
ASSUMPTION BLESSED MARY VIRGIN CHURCH,2434 SOUTH CALIFORNIA AVENUE,60608,2009-04-13T00:00:00.000Z,41.8473291,-87.6960873
SAINT HELENA OF THE CROSS CHURCH,10116 SOUTH NORMAL AVENUE,60628,2009-04-10T00:00:00.000Z,41.710172,-87.6360122
SAINT MARY STAR OF THE SEA,6435 SOUTH KILBOURN AVENUE,60629,2009-04-10T00:00:00.000Z,41.7756691,-87.7343239
SAINT BONAVENTURE CHURCH,1625 WEST DIVERSEY PARKWAY,60614,2009-04-09T00:00:00.000Z,41.9321324,-87.6693583
SANTA MARIA ADDOLORATA CATHOLIC CHURCH,528 NORTH ADA STREET,60622,2009-04-15T00:00:00.000Z,41.8922127,-87.6603499
SAINT BASIL / VISITATION CHURCH,843 WEST GARFIELD BOULEVARD,60621,2009-05-15T00:00:00.000Z,41.7935929,-87.6473133
HOLY CROSS CHURCH / IMMACULATE HEART OF MARY CHURCH,4541 SOUTH WOOD STREET,60609,2009-04-08T00:00:00.000Z,41.8107488,-87.6690229
SAINT JAMES THE APOSTLE ROMAN CATHOLIC CHURCH,5730 WEST FULLERTON AVENUE,60639,2009-04-10T00:00:00.000Z,41.9243207,-87.7704518
SAINT AMBROSE CHURCH,1012 EAST 47TH STREET,60653,2009-04-02T00:00:00.000Z,41.8100071,-87.6013532
CHRIST THE KING CATHOLIC CHURCH,9235 SOUTH HAMILTON AVENUE,60620,2009-04-06T00:00:00.000Z,41.7250096,-87.6756386
HOLY INNOCENTS CHURCH,743 NORTH ARMOUR STREET,60622,2009-04-06T00:00:00.000Z,41.8953701,-87.6651088
HOLY NAME CATHEDRAL CHURCH,10 EAST SUPERIOR STREET,60611,2009-04-06T00:00:00.000Z,41.8959604,-87.6276622
IMMACULATE CONCEPTION CHURCH,7211 WEST TALCOTT AVENUE,60631,2009-04-06T00:00:00.000Z,41.9856858,-87.8075879
