NAME,ADDRESS,ZIP,GEODATE,LAT,LONG
SAINT PROCOPIUS CATHOLIC CHURCH,1641 SOUTH ALLPORT STREET,60608,2009-04-02T00:00:00.000Z,41.8582401,-87.6573817
SAINTS PETER AND PAUL MISSION CHURCH,3107 WEST FULLERTON AVENUE,60647,2007-10-09T00:00:00.000Z,41.9244478,-87.705141
O'HARE AIRPORT CHAPEL,10000 BESSIE COLEMAN DRIVE,60666,2007-10-02T00:00:00.000Z,41.9764817,-87.9049217
SAINT COLUMBA CHURCH,13323 SOUTH GREEN BAY AVENUE,60633,2007-10-03T00:00:00.000Z,41.6531325,-87.5407007
SAINT THOMAS MORE CHURCH,2825 WEST 81ST STREET,60652,2007-10-03T00:00:00.000Z,41.7460021,-87.6930157
MIDWAY AIRPORT CHAPEL,5700 SOUTH CICERO AVENUE,60638,2007-10-02T00:00:00.000Z,41.7893427,-87.7418989
SAINT BENEDICT THE AFRICAN WEST CHURCH,1818 WEST 71ST STREET,60636,2007-10-03T00:00:00.000Z,41.7651548,-87.6692921
SAINT ALOYSIUS CATHOLIC CHURCH,2300 WEST LE MOYNE STREET,60622,2007-10-03T00:00:00.000Z,41.9087841,-87.6854186
SAINT WALTER CATHOLIC CHURCH,11722 SOUTH OAKLEY AVENUE,60643,2009-04-02T00:00:00.000Z,41.6794317,-87.6801802
SAINT JOHN DE LA SALLE CATHOLIC CHURCH,10205 SOUTH KING DRIVE,60628,2009-04-03T00:00:00.000Z,41.7089611,-87.61307
OUR LADY OF VICTORY CHURCH,5212 WEST AGATITE AVENUE,60630,2009-04-03T00:00:00.000Z,41.9618497,-87.7586116
SAINT ALPHONSUS CHURCH,1429 WEST WELLINGTON AVENUE,60657,2009-04-03T00:00:00.000Z,41.9358291,-87.6642999
SAINT THECLA CATHOLIC CHURCH,6725 WEST DEVON AVENUE,60631,2009-04-02T00:00:00.000Z,41.9968456,-87.7961084
SAINT MICHAEL CHURCH,8235 SOUTH SOUTH SHORE DRIVE,60617,2009-04-02T00:00:00.000Z,41.74514,-87.5474682
OUR LADY OF MOUNT CARMEL CHURCH,708 WEST BELMONT AVENUE,60657,2009-04-03T00:00:00.000Z,41.9403417,-87.6470368
SAINT JOSEPH THE BETROTHED UKRANIAN BYZANTINE CATHOLIC CHURCH,5000 NORTH CUMBERLAND AVENUE,60656,2009-04-07T00:00:00.000Z,41.9705035,-87.8373904
