selected,Name,Address,Zip,Lat,Long
polygon,LEARN - MIDDLE,3021 W CARROLL AVE,60612,41.88732,-87.70272
polygon,NOBLE - ITW SPEER HS,5321 W GRAND AVE,60639,41.91727,-87.75968
polygon,NOBLE - ACADEMY HS,1443 N OGDEN AVE,60610,41.90688,-87.64558
polygon,JONES HS,700 S STATE ST,60605,41.87307,-87.62768
polygon,PROSSER HS,2148 N LONG AVE,60639,41.92006,-87.76105
polygon,PAYTON HS,1034 N WELLS ST,60610,41.90158,-87.63538
polygon,NORTH-GRAND HS,4338 W WABANSIA AVE,60639,41.91167,-87.73524
polygon,WESTINGHOUSE HS,3223 W FRANKLIN BLVD,60624,41.88998,-87.70733
polygon,FOREMAN HS,3235 N LECLAIRE AVE,60641,41.93980,-87.75417
polygon,KELVYN PARK HS,4343 W WRIGHTWOOD AVE,60639,41.92792,-87.73600
polygon,LANE TECH HS,2501 W ADDISON ST,60618,41.94664,-87.69101
polygon,MANLEY HS,2935 W POLK ST,60612,41.87094,-87.69990
polygon,MARSHALL HS,3250 W ADAMS ST,60624,41.87844,-87.70805
polygon,SCHURZ HS,3601 N MILWAUKEE AVE,60641,41.94636,-87.73561
polygon,STEINMETZ HS,3030 N MOBILE AVE,60634,41.93563,-87.78352
polygon,LINCOLN PARK HS,2001 N ORCHARD ST,60614,41.91827,-87.64601
polygon,WELLS HS,936 N ASHLAND AVE,60622,41.89899,-87.66748
polygon,YOUNG HS,211 S LAFLIN ST,60607,41.87860,-87.66423
polygon,CLEMENTE HS,1147 N WESTERN AVE,60622,41.90263,-87.68691
polygon,AGASSIZ,2851 N SEMINARY AVE,60657,41.93413,-87.65623
polygon,MARINE LEADERSHIP AT AMES HS,1920 N HAMLIN AVE,60647,41.91604,-87.72174
polygon,AUDUBON,3500 N HOYNE AVE,60618,41.94506,-87.68104
polygon,JEFFERSON HS,1100 S HAMILTON AVE,60612,41.86783,-87.68042
polygon,BARRY,2828 N KILBOURN AVE,60641,41.93251,-87.73939
polygon,CLARK ES,1045 S MONITOR AVE,60644,41.86781,-87.77042
polygon,BEIDLER,3151 W WALNUT ST,60612,41.88532,-87.70585
polygon,BELL,3730 N OAKLEY AVE,60618,41.94953,-87.68602
polygon,BLAINE,1420 W GRACE ST,60613,41.95078,-87.66497
polygon,BRENTANO,2723 N FAIRFIELD AVE,60647,41.93097,-87.69629
polygon,BRIDGE,3800 N NEW ENGLAND AVE,60634,41.94911,-87.79867
polygon,BROWN W,54 N HERMITAGE AVE,60612,41.88300,-87.67068
polygon,BURBANK,2035 N MOBILE AVE,60639,41.91760,-87.78270
polygon,BURLEY,1630 W BARRY AVE,60657,41.93794,-87.66985
polygon,BURR,1621 W WABANSIA AVE,60622,41.91236,-87.66866
polygon,BRUNSON,932 N CENTRAL AVE,60651,41.89766,-87.76561
polygon,CAMERON,1234 N MONTICELLO AVE,60651,41.90379,-87.71793
polygon,GREELEY,832 W SHERIDAN RD,60613,41.95281,-87.65098
polygon,CHALMERS,2745 W ROOSEVELT RD,60608,41.86644,-87.69526
polygon,CHASE,2021 N POINT ST,60647,41.91799,-87.69456
polygon,CHOPIN,2450 W RICE ST,60622,41.89671,-87.68894
polygon,CLEVELAND,3121 W BYRON ST,60618,41.95204,-87.70644
polygon,COLUMBUS,1003 N LEAVITT ST,60622,41.89957,-87.68194
polygon,DARWIN,3116 W BELDEN AVE,60647,41.92332,-87.70541
polygon,DRUMMOND,1845 W CORTLAND ST,60622,41.91591,-87.67449
