selected,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,ZIP CODE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LATITUDE,LONGITUDE
polygon,"NICK'S FISHMARKET CHICAGO MART, LLC",NICK'S FISHMARKET,222 W MERCHANDISE MART PLZ 1ST 135,60654,10/16/16,10/15/18,41.88807,-87.63496
polygon,"CHICAGO CUT STEAKHOUSE, LLC",CHICAGO CUT STEAKHOUSE,300 N LA SALLE ST 1ST 150,60654,9/16/16,9/15/18,41.88753,-87.63265
polygon,"ONE SOUTH WACKER RESTAURANT GROUP, LLC",LLOYD'S CHICAGO RESTAURANT,1 S WACKER DR,60606,9/16/16,9/15/18,41.88189,-87.63662
polygon,"ONE SOUTH WACKER RESTAURANT GROUP, LLC",LLOYD'S CHICAGO RESTAURANT,1 S WACKER DR,60606,9/16/16,9/15/18,41.88189,-87.63662
polygon,KANELA IV LLC,Kanela breakfast club,1408 N MILWAUKEE AVE 1ST,60622,1/16/17,10/15/18,41.90742,-87.67307
polygon,"1543 N. DAMEN, LLC",DOVE'S LUNCHEONETTE,1543-1545 N DAMEN AVE,60622,9/16/16,9/15/18,41.90955,-87.67729
polygon,"AUDITORIUM THEATRE OF ROOSEVELT UNIVERSITY, INC.",AUDITORIUM THEATRE,50 E CONGRESS PKWY,60605,10/16/16,10/15/18,41.8758,-87.62573
polygon,"AUDITORIUM THEATRE OF ROOSEVELT UNIVERSITY, INC.",AUDITORIUM THEATRE'S KATTEN/LANDAU STUDIO,425 S WABASH AVE 4TH 413,60605,10/16/16,10/15/18,41.87636,-87.6259
polygon,"INGRACE'S COMPANY III, INC.",MARKET THYME,200 E RANDOLPH ST LOWERLEVEL LL15,60601,10/16/16,10/15/18,41.88463,-87.62225
polygon,KHRG ALLEGRO LLC,HOTEL ALLEGRO,171 W RANDOLPH ST 1-19,60601,9/16/16,9/15/18,41.88436,-87.63316
polygon,KHRG ALLEGRO LLC,ENCORE LIQUID LOUNGE & LUNCH CLUB,153 W RANDOLPH ST 1,60601,9/16/16,9/15/18,41.88436,-87.63257
polygon,"TD2J, INC.",MERKLE'S BAR & GRILL,3516 N CLARK ST,60657,9/14/16,9/15/18,41.94599,-87.65571
polygon,"HAROLD'S RESTAURANT, LLC",ANI,3056 N LINCOLN AVE 1,60657,9/16/16,9/15/18,41.93727,-87.66552
polygon,"THE JAZZ SHOWCASE, INC.",JAZZ SHOWCASE,806 S PLYMOUTH CT 1,60605,10/16/16,10/15/18,41.87214,-87.62878
