selected,DATE  OF OCCURRENCE,PRIMARY DESCRIPTION,LATITUDE,LONGITUDE,LOCATION DESCRIPTION,BLOCK
polygon,4/29/17 16:09,HOMICIDE,41.93331,-87.74986,ALLEY,049XX W GEORGE ST
polygon,7/5/17 0:50,HOMICIDE,41.88550,-87.72655,ALLEY,040XX W LAKE ST
polygon,5/7/17 5:04,HOMICIDE,41.93076,-87.80572,RESTAURANT,071XX W DIVERSEY AVE
polygon,7/5/17 0:43,HOMICIDE,41.90993,-87.76794,STREET,016XX N MAJOR AVE
polygon,5/10/17 9:28,HOMICIDE,41.86524,-87.72009,STREET,012XX S INDEPENDENCE BLVD
polygon,5/10/17 22:06,HOMICIDE,41.87700,-87.69618,STREET,003XX S CALIFORNIA AVE
polygon,5/11/17 17:35,HOMICIDE,41.90156,-87.76088,STREET,011XX N LONG AVE
polygon,5/12/17 2:52,HOMICIDE,41.88327,-87.69635,AUTO,001XX N CALIFORNIA AVE
polygon,7/6/17 18:31,HOMICIDE,41.90157,-87.73714,ALLEY,044XX W HADDON AVE
polygon,5/14/17 4:00,HOMICIDE,41.88021,-87.74527,AUTO,000XX S CICERO AVE
polygon,12/17/17 2:12,HOMICIDE,41.89718,-87.72781,DRIVEWAY,040XX W IOWA ST
polygon,5/14/17 3:09,HOMICIDE,41.88021,-87.74527,STREET,000XX S CICERO AVE
polygon,5/16/17 11:36,HOMICIDE,41.86674,-87.72764,STREET,011XX S KARLOV AVE
polygon,5/17/17 1:19,HOMICIDE,41.88039,-87.75407,STREET,051XX W MADISON ST
polygon,6/4/17 7:04,HOMICIDE,41.88415,-87.67286,PARKING LOT,018XX W MAYPOLE AVE
polygon,5/21/17 14:52,HOMICIDE,41.88335,-87.76662,YARD,001XX N PARKSIDE AVE
polygon,5/29/17 13:45,HOMICIDE,41.91147,-87.78508,APARTMENT,017XX N NARRAGANSETT AVE
polygon,6/24/17 5:27,HOMICIDE,41.91018,-87.77031,HOUSE,016XX N MENARD AVE
polygon,5/30/17 21:22,HOMICIDE,41.87672,-87.69450,AUTO,027XX W GLADYS AVE
polygon,7/12/17 21:26,HOMICIDE,41.90666,-87.73379,APARTMENT,014XX N KILDARE AVE
polygon,7/12/17 13:01,HOMICIDE,41.86823,-87.70492,ALLEY,031XX W FILLMORE ST
polygon,7/13/17 2:44,HOMICIDE,41.87189,-87.70424,STREET,031XX W LEXINGTON ST
polygon,7/13/17 12:58,HOMICIDE,41.89876,-87.74256,STREET,046XX W AUGUSTA BLVD
polygon,7/26/17 17:04,HOMICIDE,41.88447,-87.74371,ALLEY,047XX W MAYPOLE AVE
polygon,6/4/17 12:26,HOMICIDE,41.92244,-87.69200,STREET,025XX W LYNDALE ST
polygon,7/14/17 19:44,HOMICIDE,41.87692,-87.73883,PORCH,045XX W JACKSON BLVD
polygon,7/15/17 4:27,HOMICIDE,41.87963,-87.73641,STREET,044XX W MONROE ST
polygon,7/15/17 5:43,HOMICIDE,41.89001,-87.70639,STREET,004XX N KEDZIE AVE
polygon,7/16/17 21:40,HOMICIDE,41.89924,-87.70137,STREET,029XX W AUGUSTA BLVD
polygon,7/16/17 1:45,HOMICIDE,41.86982,-87.72409,STREET,039XX W ARTHINGTON ST
polygon,6/1/17 19:02,HOMICIDE,41.90162,-87.72139,STREET,011XX N HAMLIN AVE
polygon,9/29/17 20:55,HOMICIDE,41.87686,-87.74393,STREET,047XX W JACKSON BLVD
polygon,7/23/17 2:39,HOMICIDE,41.89546,-87.71662,PARKING LOT,036XX W CHICAGO AVE
polygon,6/4/17 3:55,HOMICIDE,41.88511,-87.68163,STREET,002XX N LEAVITT ST
polygon,1/12/18 7:00,HOMICIDE,41.94226,-87.66995,YMCA,033XX N MARSHFIELD AVE
polygon,7/25/17 6:25,HOMICIDE,41.88633,-87.75896,ALLEY,003XX N LOREL AVE
polygon,6/5/17 19:34,HOMICIDE,41.90442,-87.73001,STREET,041XX W POTOMAC AVE
polygon,7/28/17 18:30,HOMICIDE,41.90443,-87.75830,ALLEY,013XX N LOCKWOOD AVE
polygon,10/2/17 9:36,HOMICIDE,41.88109,-87.76015,YARD,000XX N LONG AVE
polygon,7/31/17 0:57,HOMICIDE,41.92442,-87.77817,YARD,024XX N MEADE AVE
polygon,8/1/17 22:27,HOMICIDE,41.89429,-87.71872,STREET,007XX N LAWNDALE AVE
polygon,8/9/17 3:08,HOMICIDE,41.89437,-87.65983,STREET,013XX W HURON ST
polygon,10/4/17 19:25,HOMICIDE,41.90682,-87.75343,STREET,014XX N LECLAIRE AVE
polygon,8/9/17 15:29,HOMICIDE,41.87907,-87.75764,STREET,001XX S LOCKWOOD AVE
polygon,8/10/17 2:22,HOMICIDE,41.90433,-87.66507,AUTO,012XX N GREENVIEW AVE
polygon,8/7/17 13:58,HOMICIDE,41.91861,-87.70701,CHA APARTMENT,020XX N KEDZIE AVE
polygon,7/27/17 20:55,HOMICIDE,41.89195,-87.62807,APARTMENT,005XX N STATE ST
polygon,8/13/17 0:32,HOMICIDE,41.90714,-87.63968,STREET,013XX N HUDSON AVE
polygon,8/13/17 11:47,HOMICIDE,41.87721,-87.75495,CHURCH,002XX S LARAMIE AVE
polygon,8/13/17 11:45,HOMICIDE,41.87721,-87.75495,CHURCH,002XX S LARAMIE AVE
polygon,10/4/17 18:22,HOMICIDE,41.89909,-87.76079,STREET,010XX N LONG AVE
polygon,8/15/17 2:22,HOMICIDE,41.90268,-87.72542,STREET,039XX W DIVISION ST
polygon,8/16/17 7:06,HOMICIDE,41.89579,-87.76152,STREET,054XX W RICE ST
polygon,6/18/17 3:13,HOMICIDE,41.89267,-87.61611,DRIVEWAY,004XX E OHIO ST
polygon,6/7/17 9:20,HOMICIDE,41.86547,-87.71783,STREET,012XX S LAWNDALE AVE
polygon,8/20/17 19:01,HOMICIDE,41.87100,-87.70186,APARTMENT,030XX W POLK ST
polygon,8/20/17 11:12,HOMICIDE,41.93190,-87.71794,STREET,036XX W DIVERSEY AVE
polygon,8/27/17 14:06,HOMICIDE,41.90463,-87.71000,STREET,033XX W POTOMAC AVE
polygon,8/23/17 11:02,HOMICIDE,41.91555,-87.70938,STREET,032XX W CORTLAND ST
polygon,8/24/17 9:50,HOMICIDE,41.92384,-87.77491,VACANT LOT,059XX W FULLERTON AVE
polygon,10/6/17 13:30,HOMICIDE,41.88361,-87.70721,STREET,032XX W MAYPOLE AVE
polygon,10/8/17 20:11,HOMICIDE,41.90471,-87.77424,STREET,013XX N MASON AVE
polygon,9/29/17 10:21,HOMICIDE,41.87692,-87.73909,YARD,045XX W JACKSON BLVD
polygon,9/21/17 12:39,HOMICIDE,41.91428,-87.77206,STREET,058XX W CORTLAND ST
polygon,8/6/17 21:54,HOMICIDE,41.88275,-87.70998,STREET,033XX W WASHINGTON BLVD
polygon,10/11/17 20:59,HOMICIDE,41.87906,-87.68638,ALLEY,001XX S WESTERN AVE
polygon,10/12/17 10:18,HOMICIDE,41.93513,-87.71546,HOUSE,029XX N GRESHAM AVE
polygon,2/25/18 3:56,HOMICIDE,41.88100,-87.77182,STREET,000XX N MAYFIELD AVE
polygon,6/7/17 9:32,HOMICIDE,41.86547,-87.71783,STREET,012XX S LAWNDALE AVE
polygon,12/23/17 15:12,HOMICIDE,41.88893,-87.75632,STREET,052XX W FERDINAND ST
polygon,8/26/17 5:25,HOMICIDE,41.89178,-87.71670,STREET,036XX W OHIO ST
polygon,12/27/17 19:44,HOMICIDE,41.88901,-87.72346,STREET,004XX N SPRINGFIELD AVE
polygon,12/28/17 16:42,HOMICIDE,41.87482,-87.74263,STREET,004XX S KILPATRICK AVE
